Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
2011-12,31.0,DEN,NBA,PF,64.0,1761.0,15.3,0.535,0.392,0.228,4.9,20.4,12.9,8.2,1.7,0.5,11.6,24.4,,1.6,1.6,3.2,0.088,,0.5,-0.8,-0.4,0.7
2012-13,32.0,ORL,NBA,C,10.0,119.0,10.3,0.434,0.526,0.07,5.7,19.9,12.8,13.7,1.8,0.6,10.6,25.1,,-0.1,0.1,0.0,-0.012,,-3.0,-1.5,-4.5,-0.1
2013-14,33.0,WAS,NBA,PF,34.0,511.0,9.7,0.506,0.483,0.169,3.3,15.0,9.1,8.7,1.4,0.0,13.3,22.7,,-0.2,0.5,0.4,0.035,,-3.2,-1.0,-4.2,-0.3
Career,,,NBA,,981.0,28009.0,14.3,0.523,0.245,0.268,6.1,16.4,11.2,10.1,1.6,0.7,12.7,23.2,,17.4,25.0,42.5,0.073,,-0.6,-0.9,-1.5,3.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 seasons,,IND,NBA,,390.0,10335.0,12.7,0.507,0.08,0.29,7.6,15.6,11.6,9.2,1.6,0.8,14.9,21.4,,2.8,13.0,15.9,0.074,,-1.9,-0.3,-2.3,-0.8
2 seasons,,ATL,NBA,,142.0,5332.0,15.2,0.511,0.12,0.318,5.9,16.3,10.9,15.1,1.7,0.4,13.7,24.7,,3.2,2.2,5.4,0.048,,-0.1,-1.6,-1.7,0.4
2 seasons,,NYK,NBA,,140.0,4575.0,16.6,0.55,0.392,0.277,4.2,16.4,10.1,7.6,1.6,0.8,10.5,26.4,,4.3,3.2,7.5,0.079,,0.8,-1.2,-0.4,1.8
2 seasons,,DEN,NBA,,137.0,3426.0,13.8,0.531,0.436,0.202,5.2,18.9,12.2,8.9,1.4,0.5,12.1,23.4,,2.2,3.1,5.3,0.075,,-0.1,-1.0,-1.0,0.8
3 seasons,,GSW,NBA,,128.0,3711.0,15.5,0.54,0.385,0.215,5.6,16.2,10.7,9.9,1.6,0.6,9.1,21.8,,5.2,2.8,8.1,0.104,,0.9,-1.0,-0.1,1.8
1 season,,WAS,NBA,,34.0,511.0,9.7,0.506,0.483,0.169,3.3,15.0,9.1,8.7,1.4,0.0,13.3,22.7,,-0.2,0.5,0.4,0.035,,-3.2,-1.0,-4.2,-0.3
1 season,,ORL,NBA,,10.0,119.0,10.3,0.434,0.526,0.07,5.7,19.9,12.8,13.7,1.8,0.6,10.6,25.1,,-0.1,0.1,0.0,-0.012,,-3.0,-1.5,-4.5,-0.1
